State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Prakasam,10/21/2023,2023,10,0.071610535,IMD GRID MODEL
Andhra Pradesh,Prakasam,10/24/2023,2023,10,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,10/25/2023,2023,10,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,10/26/2023,2023,10,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,10/29/2023,2023,10,0.170459658,IMD GRID MODEL
Andhra Pradesh,Prakasam,11/2/2023,2023,11,0.226879297,IMD GRID MODEL
Andhra Pradesh,Prakasam,11/3/2023,2023,11,4.791641866,IMD GRID MODEL
Andhra Pradesh,Prakasam,11/10/2023,2023,11,0.018344871,IMD GRID MODEL
Andhra Pradesh,Prakasam,11/13/2023,2023,11,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,11/17/2023,2023,11,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,11/25/2023,2023,11,15.50584372,IMD GRID MODEL
Andhra Pradesh,Prakasam,12/10/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,12/22/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,12/23/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,12/27/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,12/28/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,1/10/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,1/12/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,1/26/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,1/27/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2/2/2023,2023,2,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2/20/2023,2023,2,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,3/9/2023,2023,3,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,3/10/2023,2023,3,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,3/12/2023,2023,3,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,3/21/2023,2023,3,3.558252794,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,3/26/2023,2023,3,1.290425764,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,4/2/2023,2023,4,5.279076415,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,4/7/2023,2023,4,0,IMD GRID MODEL
